"Emne","Startdato","Starttidspunkt","Slutdato","Sluttidspunkt","Hele dagen","Påmindelse til/fra","Påmindelsesdato","Påmindelsesklokkeslæt","Mødearrangør","Nødvendige deltagere","Valgfrie deltagere","Møderessourcer","Beskrivelse","Følsomhed","Kategorier","Kørte kilometer","Prioritet","Privat","Sted","Takstoplysninger","Vis tidspunkt som"
"*reserveret (Ferie afventer anmod...)","19-8-2022","08:00:00","19-8-2022","15:24:00","Falsk","Falsk","19-8-2022","07:45:00",,,,,"Bemærkning: Ferie afventer anmodning

[FLEX-ID 851401:3157297]","Normal","FLEX-skema",,"Normal","Falsk","",,"2"
"Ugentlig koordinering","1-8-2022","14:15:00","1-8-2022","15:45:00","Falsk","Falsk","1-8-2022","14:00:00",,"Frank Rosbak;Lærke Brandhøj Kristensen;Simon Hoxer Bønding;Lars Thise Pedersen",,,"Agenda:

*	Kig en uge frem 

	*	Samtale om arbejdspres (materiale fra AMR)
	*	Skema
	*	Øvrige aktiviteter
	*	Kommende aflevering
	*	Elever der er opmærksomhed på



  
________________________________________________________________________________
Microsoft Teams meeting
Join on your computer or mobile app
Click here to join the meeting <https://teams.microsoft.com/l/meetup-join/19%3ameeting_MjhmOTk2ZmItZmJiOC00NzdhLWE5YTUtMDNmNDk1M2NlODFk%40thread.v2/0?context=%7b%22Tid%22%3a%2265fd19cf-7402-46c7-83f3-2cb1f7973020%22%2c%22Oid%22%3a%2291ef763c-0971-4c4d-92ac-fd3465a313d7%22%7d> 
Learn More <https://aka.ms/JoinTeamsMeeting>  | Meeting options <https://teams.microsoft.com/meetingOptions/?organizerId=91ef763c-0971-4c4d-92ac-fd3465a313d7&tenantId=65fd19cf-7402-46c7-83f3-2cb1f7973020&threadId=19_meeting_MjhmOTk2ZmItZmJiOC00NzdhLWE5YTUtMDNmNDk1M2NlODFk@thread.v2&messageId=0&language=en-GB> 
 
 
________________________________________________________________________________
","Normal",,,"Normal","Falsk","",,"2"
"Ugentlig koordinering","8-8-2022","14:15:00","8-8-2022","15:45:00","Falsk","Falsk","8-8-2022","14:00:00",,"Frank Rosbak;Lærke Brandhøj Kristensen;Simon Hoxer Bønding;Lars Thise Pedersen",,,"Agenda:

*	Kig en uge frem 

	*	Samtale om arbejdspres (materiale fra AMR)
	*	Skema
	*	Øvrige aktiviteter
	*	Kommende aflevering
	*	Elever der er opmærksomhed på



  
________________________________________________________________________________
Microsoft Teams meeting
Join on your computer or mobile app
Click here to join the meeting <https://teams.microsoft.com/l/meetup-join/19%3ameeting_MjhmOTk2ZmItZmJiOC00NzdhLWE5YTUtMDNmNDk1M2NlODFk%40thread.v2/0?context=%7b%22Tid%22%3a%2265fd19cf-7402-46c7-83f3-2cb1f7973020%22%2c%22Oid%22%3a%2291ef763c-0971-4c4d-92ac-fd3465a313d7%22%7d> 
Learn More <https://aka.ms/JoinTeamsMeeting>  | Meeting options <https://teams.microsoft.com/meetingOptions/?organizerId=91ef763c-0971-4c4d-92ac-fd3465a313d7&tenantId=65fd19cf-7402-46c7-83f3-2cb1f7973020&threadId=19_meeting_MjhmOTk2ZmItZmJiOC00NzdhLWE5YTUtMDNmNDk1M2NlODFk@thread.v2&messageId=0&language=en-GB> 
 
 
________________________________________________________________________________
","Normal",,,"Normal","Falsk","",,"2"
"Ugentlig koordinering","15-8-2022","14:15:00","15-8-2022","15:45:00","Falsk","Falsk","15-8-2022","14:00:00",,"Frank Rosbak;Lærke Brandhøj Kristensen;Simon Hoxer Bønding;Lars Thise Pedersen",,,"Agenda:

*	Kig en uge frem 

	*	Samtale om arbejdspres (materiale fra AMR)
	*	Skema
	*	Øvrige aktiviteter
	*	Kommende aflevering
	*	Elever der er opmærksomhed på



  
________________________________________________________________________________
Microsoft Teams meeting
Join on your computer or mobile app
Click here to join the meeting <https://teams.microsoft.com/l/meetup-join/19%3ameeting_MjhmOTk2ZmItZmJiOC00NzdhLWE5YTUtMDNmNDk1M2NlODFk%40thread.v2/0?context=%7b%22Tid%22%3a%2265fd19cf-7402-46c7-83f3-2cb1f7973020%22%2c%22Oid%22%3a%2291ef763c-0971-4c4d-92ac-fd3465a313d7%22%7d> 
Learn More <https://aka.ms/JoinTeamsMeeting>  | Meeting options <https://teams.microsoft.com/meetingOptions/?organizerId=91ef763c-0971-4c4d-92ac-fd3465a313d7&tenantId=65fd19cf-7402-46c7-83f3-2cb1f7973020&threadId=19_meeting_MjhmOTk2ZmItZmJiOC00NzdhLWE5YTUtMDNmNDk1M2NlODFk@thread.v2&messageId=0&language=en-GB> 
 
 
________________________________________________________________________________
","Normal",,,"Normal","Falsk","",,"2"
"Ugentlig koordinering","22-8-2022","14:15:00","22-8-2022","15:45:00","Falsk","Falsk","22-8-2022","14:00:00",,"Frank Rosbak;Lærke Brandhøj Kristensen;Simon Hoxer Bønding;Lars Thise Pedersen",,,"Agenda:

*	Kig en uge frem 

	*	Samtale om arbejdspres (materiale fra AMR)
	*	Skema
	*	Øvrige aktiviteter
	*	Kommende aflevering
	*	Elever der er opmærksomhed på



  
________________________________________________________________________________
Microsoft Teams meeting
Join on your computer or mobile app
Click here to join the meeting <https://teams.microsoft.com/l/meetup-join/19%3ameeting_MjhmOTk2ZmItZmJiOC00NzdhLWE5YTUtMDNmNDk1M2NlODFk%40thread.v2/0?context=%7b%22Tid%22%3a%2265fd19cf-7402-46c7-83f3-2cb1f7973020%22%2c%22Oid%22%3a%2291ef763c-0971-4c4d-92ac-fd3465a313d7%22%7d> 
Learn More <https://aka.ms/JoinTeamsMeeting>  | Meeting options <https://teams.microsoft.com/meetingOptions/?organizerId=91ef763c-0971-4c4d-92ac-fd3465a313d7&tenantId=65fd19cf-7402-46c7-83f3-2cb1f7973020&threadId=19_meeting_MjhmOTk2ZmItZmJiOC00NzdhLWE5YTUtMDNmNDk1M2NlODFk@thread.v2&messageId=0&language=en-GB> 
 
 
________________________________________________________________________________
","Normal",,,"Normal","Falsk","",,"2"
"Ugentlig koordinering","29-8-2022","14:15:00","29-8-2022","15:45:00","Falsk","Falsk","29-8-2022","14:00:00",,"Frank Rosbak;Lærke Brandhøj Kristensen;Simon Hoxer Bønding;Lars Thise Pedersen",,,"Agenda:

*	Kig en uge frem 

	*	Samtale om arbejdspres (materiale fra AMR)
	*	Skema
	*	Øvrige aktiviteter
	*	Kommende aflevering
	*	Elever der er opmærksomhed på



  
________________________________________________________________________________
Microsoft Teams meeting
Join on your computer or mobile app
Click here to join the meeting <https://teams.microsoft.com/l/meetup-join/19%3ameeting_MjhmOTk2ZmItZmJiOC00NzdhLWE5YTUtMDNmNDk1M2NlODFk%40thread.v2/0?context=%7b%22Tid%22%3a%2265fd19cf-7402-46c7-83f3-2cb1f7973020%22%2c%22Oid%22%3a%2291ef763c-0971-4c4d-92ac-fd3465a313d7%22%7d> 
Learn More <https://aka.ms/JoinTeamsMeeting>  | Meeting options <https://teams.microsoft.com/meetingOptions/?organizerId=91ef763c-0971-4c4d-92ac-fd3465a313d7&tenantId=65fd19cf-7402-46c7-83f3-2cb1f7973020&threadId=19_meeting_MjhmOTk2ZmItZmJiOC00NzdhLWE5YTUtMDNmNDk1M2NlODFk@thread.v2&messageId=0&language=en-GB> 
 
 
________________________________________________________________________________
","Normal",,,"Normal","Falsk","",,"2"
"Ugentlig koordinering","5-9-2022","14:15:00","5-9-2022","15:45:00","Falsk","Falsk","5-9-2022","14:00:00",,"Frank Rosbak;Lærke Brandhøj Kristensen;Simon Hoxer Bønding;Lars Thise Pedersen",,,"Agenda:

*	Kig en uge frem 

	*	Samtale om arbejdspres (materiale fra AMR)
	*	Skema
	*	Øvrige aktiviteter
	*	Kommende aflevering
	*	Elever der er opmærksomhed på



  
________________________________________________________________________________
Microsoft Teams meeting
Join on your computer or mobile app
Click here to join the meeting <https://teams.microsoft.com/l/meetup-join/19%3ameeting_MjhmOTk2ZmItZmJiOC00NzdhLWE5YTUtMDNmNDk1M2NlODFk%40thread.v2/0?context=%7b%22Tid%22%3a%2265fd19cf-7402-46c7-83f3-2cb1f7973020%22%2c%22Oid%22%3a%2291ef763c-0971-4c4d-92ac-fd3465a313d7%22%7d> 
Learn More <https://aka.ms/JoinTeamsMeeting>  | Meeting options <https://teams.microsoft.com/meetingOptions/?organizerId=91ef763c-0971-4c4d-92ac-fd3465a313d7&tenantId=65fd19cf-7402-46c7-83f3-2cb1f7973020&threadId=19_meeting_MjhmOTk2ZmItZmJiOC00NzdhLWE5YTUtMDNmNDk1M2NlODFk@thread.v2&messageId=0&language=en-GB> 
 
 
________________________________________________________________________________
","Normal",,,"Normal","Falsk","",,"2"
"Ugentlig koordinering","12-9-2022","14:15:00","12-9-2022","15:45:00","Falsk","Falsk","12-9-2022","14:00:00",,"Frank Rosbak;Lærke Brandhøj Kristensen;Simon Hoxer Bønding;Lars Thise Pedersen",,,"Agenda:

*	Kig en uge frem 

	*	Samtale om arbejdspres (materiale fra AMR)
	*	Skema
	*	Øvrige aktiviteter
	*	Kommende aflevering
	*	Elever der er opmærksomhed på



  
________________________________________________________________________________
Microsoft Teams meeting
Join on your computer or mobile app
Click here to join the meeting <https://teams.microsoft.com/l/meetup-join/19%3ameeting_MjhmOTk2ZmItZmJiOC00NzdhLWE5YTUtMDNmNDk1M2NlODFk%40thread.v2/0?context=%7b%22Tid%22%3a%2265fd19cf-7402-46c7-83f3-2cb1f7973020%22%2c%22Oid%22%3a%2291ef763c-0971-4c4d-92ac-fd3465a313d7%22%7d> 
Learn More <https://aka.ms/JoinTeamsMeeting>  | Meeting options <https://teams.microsoft.com/meetingOptions/?organizerId=91ef763c-0971-4c4d-92ac-fd3465a313d7&tenantId=65fd19cf-7402-46c7-83f3-2cb1f7973020&threadId=19_meeting_MjhmOTk2ZmItZmJiOC00NzdhLWE5YTUtMDNmNDk1M2NlODFk@thread.v2&messageId=0&language=en-GB> 
 
 
________________________________________________________________________________
","Normal",,,"Normal","Falsk","",,"2"
"Ugentlig koordinering","19-9-2022","14:15:00","19-9-2022","15:45:00","Falsk","Falsk","19-9-2022","14:00:00",,"Frank Rosbak;Lærke Brandhøj Kristensen;Simon Hoxer Bønding;Lars Thise Pedersen",,,"Agenda:

*	Kig en uge frem 

	*	Samtale om arbejdspres (materiale fra AMR)
	*	Skema
	*	Øvrige aktiviteter
	*	Kommende aflevering
	*	Elever der er opmærksomhed på



  
________________________________________________________________________________
Microsoft Teams meeting
Join on your computer or mobile app
Click here to join the meeting <https://teams.microsoft.com/l/meetup-join/19%3ameeting_MjhmOTk2ZmItZmJiOC00NzdhLWE5YTUtMDNmNDk1M2NlODFk%40thread.v2/0?context=%7b%22Tid%22%3a%2265fd19cf-7402-46c7-83f3-2cb1f7973020%22%2c%22Oid%22%3a%2291ef763c-0971-4c4d-92ac-fd3465a313d7%22%7d> 
Learn More <https://aka.ms/JoinTeamsMeeting>  | Meeting options <https://teams.microsoft.com/meetingOptions/?organizerId=91ef763c-0971-4c4d-92ac-fd3465a313d7&tenantId=65fd19cf-7402-46c7-83f3-2cb1f7973020&threadId=19_meeting_MjhmOTk2ZmItZmJiOC00NzdhLWE5YTUtMDNmNDk1M2NlODFk@thread.v2&messageId=0&language=en-GB> 
 
 
________________________________________________________________________________
","Normal",,,"Normal","Falsk","",,"2"
"Ugentlig koordinering","26-9-2022","14:15:00","26-9-2022","15:45:00","Falsk","Falsk","26-9-2022","14:00:00",,"Frank Rosbak;Lærke Brandhøj Kristensen;Simon Hoxer Bønding;Lars Thise Pedersen",,,"Agenda:

*	Kig en uge frem 

	*	Samtale om arbejdspres (materiale fra AMR)
	*	Skema
	*	Øvrige aktiviteter
	*	Kommende aflevering
	*	Elever der er opmærksomhed på



  
________________________________________________________________________________
Microsoft Teams meeting
Join on your computer or mobile app
Click here to join the meeting <https://teams.microsoft.com/l/meetup-join/19%3ameeting_MjhmOTk2ZmItZmJiOC00NzdhLWE5YTUtMDNmNDk1M2NlODFk%40thread.v2/0?context=%7b%22Tid%22%3a%2265fd19cf-7402-46c7-83f3-2cb1f7973020%22%2c%22Oid%22%3a%2291ef763c-0971-4c4d-92ac-fd3465a313d7%22%7d> 
Learn More <https://aka.ms/JoinTeamsMeeting>  | Meeting options <https://teams.microsoft.com/meetingOptions/?organizerId=91ef763c-0971-4c4d-92ac-fd3465a313d7&tenantId=65fd19cf-7402-46c7-83f3-2cb1f7973020&threadId=19_meeting_MjhmOTk2ZmItZmJiOC00NzdhLWE5YTUtMDNmNDk1M2NlODFk@thread.v2&messageId=0&language=en-GB> 
 
 
________________________________________________________________________________
","Normal",,,"Normal","Falsk","",,"2"
